Company,Price,Price Extended Hours,P/E,Market Cap,Ticker,Open,Previous Close,52 Wk High,52 Wk Low,Industry,Shares Outstanding,Volume,Volume Average,Change,Change %,Change % Extended Hours,Change Extended Hours,Date
,134.33,135.46,14.0839,76441668604.0,MMM,135.76,135.25,203.21,133.06,Consumer Goods Conglomerates,569058800.0,3271129.0,2722817.0,-0.92,-0.006802,0.008412,1.13,2022-06-24
,116.47,116.47,27.9759,34790532407.0,A,117.24,116.01,179.57,112.64,Healthcare Equipment & Supplies,298708100.0,1886299.0,1837530.0,0.46,0.003965,0.0,0.0,2022-06-24
,13.31,13.54,3.3196,8645041988.0,AAL,13.07,12.95,23.13,12.4401,Passenger Transportation Services,649514800.0,49703423.0,33490665.0,0.36,0.027799,0.01728,0.23,2022-06-24
,172.29,172.36,19.0482,10447636310.0,AAP,172.12,171.48,244.55,169.0,Specialty Retailers,60639830.0,859151.0,949224.0,0.81,0.004724,0.0004063,0.07,2022-06-24
,135.43,136.5,21.5796,2191958927400.0,AAPL,134.29,132.76,182.94,128.461,"Computers, Phones & Household Electronics",16185180000.0,91532972.0,99965083.0,2.67,0.020111,0.007901,1.07,2022-06-24
,138.09,138.7,19.7392,244020219900.0,ABBV,136.57,137.62,175.91,105.56,Pharmaceuticals,1767110000.0,5981766.0,6203628.0,0.47,0.003415,0.004417,0.61,2022-06-24
,142.31,142.31,17.2496,29808836071.0,ABC,141.28,141.21,167.19,111.34,Healthcare Equipment & Supplies,209464100.0,1309539.0,1754822.0,1.1,0.00779,0.0,0.0,2022-06-24
,232.35,230.28,77.4789,10464210000.0,ABMD,229.27,229.66,379.295,226.46,Healthcare Equipment & Supplies,45563940.0,390532.0,319304.0,2.69,0.011713,-0.008909,-2.07,2022-06-24
,104.8,105.0,23.7634,183498721600.0,ABT,104.32,102.94,142.6,101.9501,Healthcare Equipment & Supplies,1750942000.0,5278086.0,5480145.0,1.86,0.018068999999999998,0.001908,0.2,2022-06-24
,281.19,283.1399,27.7268,186269900817.0,ACN,276.98,275.12,417.37,268.17,Software & IT Services,662434300.0,2536026.0,2240391.0,6.07,0.022063000000000003,0.006934,1.9499,2022-06-24
,376.92,381.0,36.8294,178094700000.0,ADBE,376.03,370.82,699.54,367.31,Software & IT Services,472500000.0,3664477.0,3266274.0,6.1,0.01645,0.010825,4.08,2022-06-24
,150.08,149.6,41.7457,78012484480.0,ADI,149.17,147.17,191.95,143.81,Semiconductors & Semiconductor Equipment,519806000.0,3263391.0,3536685.0,2.91,0.019773,-0.003198,-0.48,2022-06-24
,82.28,82.36,15.2599,46299597784.0,ADM,83.2,82.67,98.88,56.9101,Food & Tobacco,562707800.0,3131792.0,3487208.0,-0.39,-0.004718,0.0009722999999999999,0.08,2022-06-24
,207.15,207.78,30.1418,86536332480.0,ADP,205.98,204.13,248.96,192.18,Software & IT Services,417747200.0,1784714.0,1736058.0,3.02,0.014794,0.003041,0.63,2022-06-24
,176.71,177.89,77.8684,38394170462.0,ADSK,174.57,171.59,344.39,170.06,Software & IT Services,217272200.0,1911715.0,1876835.0,5.12,0.029839,0.006678,1.18,2022-06-24
